albert einstein,en,Q937,Q13426745,Q55333079,Q15990626,Q52851646,Q52753683,Q52798819,Q52783212,Q52816369,Q52804969,Q52846745,Q75118165,Q79893159,Q76628262,Q47512878,Q123371,Q17712,Q577449,Q2464312,Q577432,Q47003748,Q4710135,Q97043433,Q2637432,Q22948959,Q63392219,Q100702138,Q100629245,Q101579308,Q19093719,Q27324183,Q2986155,Q22095877,Q68761,Q7310836,Q2402570,Q2904913,Q4710128,Q1670676,Q3400616,Q76346,Q2831153,Q1630439,Q468357,Q21188201,Q2030894,Q4710136,Q26854017,Q1287930,Q27719646
Albert Swasey,en,Q89112074,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY
albrecht dürer,en,Q83665632,Q5580,Q42185472,Q21069274,Q100320351,Q535910,Q18736876,Q829270,Q104532607,Q54833681,Q80464079,Q3937475,Q688870,Q29954441,Q20175457,Q3948737,Q84574488,Q64787121,Q3937525,Q22250338,Q22250340,Q48554373,Q29918135,Q738242,Q29473934,Q69667738,Q3937468,Q3937568,Q22250343,Q20536257,Q48554369,Q3947309,Q54811135,Q19925781,Q50321411,Q19911432,Q27697307,Q22250344,Q3937632,Q3613128,Q2542197,Q2628761,Q3428032,Q27981718,Q748518,Q64541703,Q18683052,Q21567927,Q2639724,Q7232351
Albus Dumbledore,en,Q712548,Q53952777,Q3234008,Q176772,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY
alert,en,Q501744,Q16547621,Q446078,Q4716218,Q37247462,Q20220093,Q2802022,Q71148449,Q16205660,Q4716211,Q22954034,Q19460153,Q52375999,Q27868061,Q24027290,Q97983360,Q24026964,Q4652326,Q97983367,Q97983361,Q97983365,Q97983363,Q103780021,Q6147892,Q61309048,Q100288531,Q1649005,Q7511869,Q5631274,Q342129,Q61279184,Q27714842,Q55616596,Q4716227,Q1202607,Q1278480,Q127121,Q4716232,Q27717400,Q5169236,Q42529413,Q16967005,Q388225,Q47358577,Q1091710,Q684904,Q746351,Q29097114,Q16997073,Q4048100
alexander the great,en,Q8409,Q60786039,Q25095603,Q619228,Q3610808,Q102536727,Q2833236,Q4720510,Q19826307,Q2834226,Q4720514,Q11823111,Q412100,Q85988015,Q63810244,Q80802852,Q87280637,Q21189950,Q21189949,Q21000719,Q50319474,Q21000724,Q26236827,Q21000720,Q52161725,Q59643378,Q1674001,Q3531150,Q4179493,Q551888,Q4720511,Q627824,Q38130146,Q54997547,Q4428359,Q4720512,Q88023033,Q51883206,Q7737837,Q16527998,Q6012170,Q59737475,Q15896678,Q28913507,Q84745041,Q65591304,Q4200795,Q3559282,Q6546878,Q65589641
Alexkrakovsky,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY
alien,en,Q103569,Q1990792,Q209758,Q10405217,Q226391,Q284436,Q15630589,Q105786079,Q3611749,Q1616514,Q3611748,Q3611745,Q2836801,Q3611742,Q16132073,Q4726398,Q3611743,Q2297566,Q65069671,Q9603884,Q11850873,Q3611744,Q55603641,Q97362732,Q4726397,Q65767077,Q85740760,Q13429031,Q19870673,Q48814814,Q473741,Q57582617,Q1676972,Q108543,Q2836804,Q27825337,Q8847318,Q7713108,Q650023,Q4726434,Q857965,Q20430699,Q15613717,Q29809497,Q458314,Q155163,Q2967318,Q2819309,Q4726402,Q5601048
All Saints church at Ockham.,en,Q17527543,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY
alzheimer,en,Q11081,Q423862,Q4738829,Q28470104,Q4738826,Q70530,Q18287033,Q55681526,Q18410156,Q22280357,Q24303913,Q16827712,Q611378,Q58632724,Q27990219,Q27677605,Q4358806,Q74647108,Q27677598,Q27677602,Q27677601,Q27677603,Q2006419,Q27677612,Q27677614,Q27677606,Q27677608,Q27677613,Q27677607,Q5195031,Q11957640,Q55345648,Q82698250,Q4738827,Q5326566,Q4738819,Q19971785,Q22242760,Q22253055,Q33841850,Q22252311,Q37011121,Q55345929,Q27003314,Q27860862,Q37453000,Q6766473,Q37692419,Q34262758,Q28252389
