Big Ben,en,Q41225,Q4905080,Q858516,Q2902145,Q858503,Q342107,Q12785867,Q21937151,Q21939306,Q31473279,Q21937152,Q21966177,Q4905078,Q31708143,Q23959291,Q21963571,Q31708174,Q21963572,Q31708159,Q31676809,Q31880297,Q97331712,Q49399531,Q31688414,Q4905081,Q4905082,Q51622858,Q28042556,Q2676434,Q64539830,Q3599630,Q30901872,Q96278603,Q4905086,Q4905083,Q21958540,Q97331713,Q22413738,Q7249006,Q21938562,Q21918094,Q29096490,Q4687030,Q29075175,Q24263564,Q816453,Q3486618,Q295364,Q599161,Q537679,
covid 19 pandemic in sweden,en,Q84081576,Q88898249,Q84081579,Q94997821,Q94978221,Q88807626,Q88966978,Q97704218,Q87035239,Q90901577,Q96225265,Q100440506,Q95600722,Q98946988,Q100956875,Q102068777,Q96837023,Q87689526,Q98384303,Q96773767,Q98156692,Q98622974,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
martin luther,en,Q9554,Q989866,Q342938,Q62290,Q328096,Q94872930,Q94901053,Q1904488,Q753570,Q29539914,Q50322437,Q1904487,Q1119135,Q65528307,Q23928678,Q540530,Q103911289,Q80055974,Q79509723,Q22077207,Q11988529,Q59274681,Q1903199,Q1646090,Q6776044,Q1231477,Q54803650,Q66023724,Q8027,Q1903253,Q77239,Q186245,Q20494923,Q2603376,Q1903245,Q1903573,Q1877868,Q2642627,Q30247850,Q1695444,Q85090711,Q1903242,Q528092,Q751738,Q6776039,Q6729875,Q13223865,Q28657970,Q32120,Q75809,
saturn,en,Q200912,Q134388,Q193,Q3950829,Q1285723,Q2543504,Q911746,Q30600555,Q98852879,Q28458157,Q3589620,Q9334013,Q51844966,Q30608084,Q60744624,Q4409077,Q36199122,Q2647522,Q3950855,Q7426771,Q28148552,Q92797986,Q24897392,Q41781354,Q19023441,Q86629822,Q52375512,Q99486328,Q83961675,Q85973839,Q98447024,Q85980199,Q15050,Q15034,Q54363,Q15040,Q2565,Q17975,Q3303,Q15047,Q15037,Q17958,Q105447,Q18213,Q18235,Q1972,Q194,Q22941217,Q2226441,Q477073,
civil rights,en,Q191600,Q25536339,Q5124684,Q72887431,Q65557821,Q1021386,Q404355,Q5124546,Q48537,Q5124539,Q2974874,Q17986511,Q3678778,Q5124550,Q5124548,Q19039540,Q5124538,Q5124541,Q13406660,Q5124493,Q585962,Q5124687,Q48971375,Q1113306,Q501202,Q36721759,Q57181360,Q16254248,Q845216,Q5053131,Q26456325,Q6879088,Q6837494,Q29556,Q15760539,Q7241141,Q5124547,Q104843534,Q20779938,Q13386549,Q39052392,Q28336825,Q19866606,Q5124544,Q72941143,Q7889639,Q3121855,Q16209299,Q6508653,Q7079309,
winslow homer,en,Q344838,Q16967693,Q19923957,Q18619431,Q19924434,Q20171155,Q19924223,Q3172216,Q7738501,Q20174564,Q12141828,Q5348954,Q78737329,Q64572013,Q20778237,Q77526935,Q20778160,Q20489754,Q6009485,Q20778170,Q20190316,Q20274189,Q20778214,Q7720125,Q20778190,Q19930492,Q20489755,Q38530388,Q77513038,Q20169924,Q65969655,Q77497878,Q20812912,Q64573031,Q7727732,Q38529178,Q77468718,Q23939626,Q20273499,Q18609320,Q21712040,Q49198405,Q28796193,Q18605972,Q18609440,Q20174601,Q12162075,Q18603693,Q20854850,Q49198341,
starry night,en,Q29386,Q100144774,Q7602273,Q16951270,Q13580227,Q7602276,Q7602274,Q104865886,Q96419413,Q7602281,Q18209775,Q47430923,Q64581820,Q65576935,Q5358400,Q18890923,Q18890924,Q18890926,Q18890927,Q18890925,Q45585,Q7602265,Q920366,Q59065714,Q43989244,Q19026050,Q26221341,Q65252047,Q76349494,Q76349496,Q7391900,Q22963240,Q79873157,Q76349492,Q28127306,Q42432168,Q76349500,Q80013281,Q24211321,Q104191300,Q4911581,Q76349504,Q19538082,Q79873445,Q1464531,Q65043025,Q93034763,Q79873448,Q104191136,Q80983068,
church,en,Q9592,Q16865586,Q605315,Q80415711,Q63345322,Q97482462,Q81199513,Q96657022,Q97010802,Q5116529,Q29787379,Q66057556,Q5116540,Q14906947,Q4460287,Q96657187,Q5116544,Q5116543,Q5116545,Q15823566,Q11194590,Q53759147,Q28321349,Q4011696,Q5116537,Q29674596,Q23056934,Q24677811,Q101861586,Q98674655,Q1648539,Q13467482,Q317557,Q16970,Q27961885,Q366212,Q1088628,Q597526,Q408744,Q1509716,Q34651,Q2638480,Q745967,Q5116872,Q64900,Q82708,Q55876909,Q3087166,Q21508608,Q42504,
banksy,en,Q133600,Q104010442,Q22000384,Q96378073,Q3352607,Q22000063,Q47685943,Q93487633,Q23848755,Q5829280,Q28064437,Q96398199,Q64485208,Q22330073,Q48812496,Q17021296,Q27949192,Q47013568,Q63224619,Q86754133,Q104195912,Q48742674,Q22000057,Q22004487,Q22021813,Q97453125,Q100801533,Q24963927,Q20896199,Q24038153,Q95098936,Q18750953,Q1119322,Q25345672,Q69662656,Q22764991,Q8035090,Q20713134,Q48753014,Q100796656,Q56886750,Q78092952,Q100795182,Q20853569,Q17672136,Q56018143,Q56459959,Q56460434,Q25351904,Q22000550,
william morris,en,Q182589,Q11169604,Q13132363,Q8015832,Q4048534,Q8015834,Q15290209,Q18535823,Q4303211,Q20748903,Q20821453,Q28605803,Q8015828,Q20751836,Q8015831,Q43134431,Q8015827,Q28050360,Q8015833,Q8015829,Q26271764,Q354624,Q56187641,Q56598311,Q17053621,Q64020535,Q25184629,Q19239925,Q19239927,Q75605799,Q101081965,Q75659966,Q75422992,Q75605804,Q75605817,Q75569408,Q75569008,Q75648645,Q66648265,Q98601506,Q54173639,Q96083038,Q56296138,Q94135414,Q76046877,Q75831420,Q75831330,Q76273096,Q75835399,Q18911802,
rosa parks,en,Q41921,Q54867194,Q22025388,Q7367096,Q7367097,Q28732995,Q74889865,Q7367101,Q3095535,Q87748745,Q7367099,Q18786583,Q25991392,Q7367103,Q7367098,Q16874257,Q30622740,Q4048535,Q7761527,Q56859154,Q7056557,Q17610570,Q19095648,Q56704733,Q88578483,Q7367105,Q24963286,Q86254850,Q7367066,Q60379270,Q7091315,Q7367104,Q7367106,Q86254810,Q25015164,Q83661592,Q7367102,Q96634306,Q7367067,Q6844216,Q56060773,Q55924800,Q7367100,Q103874375,Q7367068,Q7367139,Q99756910,Q57442925,Q59428161,Q56874037,
animals,en,Q729,Q206216,Q2817254,Q14565308,Q17716087,Q4180616,Q2850023,Q3184120,Q4765020,Q4765022,Q60738656,Q25217339,Q18880707,Q16242348,Q4765024,Q100937235,Q31206713,Q87126321,Q4765023,Q28914701,Q65119681,Q65071021,Q99439609,Q59020120,Q64815551,Q29597063,Q64074391,Q16828621,Q131422,Q27725748,Q3299752,Q3446204,Q16875712,Q1207909,Q209542,Q1756633,Q459426,Q44631,Q53677887,Q15758273,Q1360,Q193145,Q1135582,Q15762367,Q622852,Q7717269,Q2850022,Q2199452,Q151888,Q30078179,
lychakiv cemetery,en,Q1316721,Q9638057,Q64504691,Q9441295,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
charlie chaplin,en,Q882,Q2960839,Q1063926,Q10448547,Q5084684,Q100725003,Q52820863,Q5084682,Q56022903,Q18386894,Q9189117,Q3065301,Q14681732,Q1152989,Q11830031,Q572440,Q10298662,Q669929,Q10331225,Q584509,Q1195688,Q1068968,Q1192082,Q400101,Q2291409,Q1923676,Q2445751,Q16208800,Q1197772,Q2345559,Q85062764,Q1070484,Q2718259,Q1768520,Q1140317,Q2345539,Q2294264,Q1551630,Q2449461,Q18243488,Q2402289,Q765880,Q2345856,Q641474,Q733819,Q2294948,Q9189112,Q8453315,Q166739,Q3986814,
taj mahal,en,Q3487323,Q9141,Q353023,Q125021,Q614897,Q10377883,Q99773235,Q7676724,Q59627566,Q21009457,Q7676718,Q7676719,Q16952900,Q7676717,Q51269980,Q16966074,Q7676720,Q16901055,Q99399409,Q99429775,Q99429577,Q99321809,Q7462637,Q6935520,Q6941522,Q6933877,Q5646922,Q6885535,Q7095376,Q7759647,Q5215576,Q5652887,Q7180545,Q7753121,Q7426257,Q6941576,Q5558424,Q47528248,Q7732512,Q1282259,Q39086603,Q7676725,Q7717251,Q5418601,Q19104,Q5751953,Q7717252,Q6729331,Q4930536,Q6776556,
soccer,en,Q2736,Q2338283,Q7550288,Q80422,Q7550286,Q97277624,Q57300833,Q18543,Q63870141,Q326704,Q210778,Q476028,Q163521,Q729035,Q937857,Q1154710,Q628099,Q367288,Q536299,Q633461,Q1362411,Q642291,Q1478437,Q308683,Q467374,Q603439,Q923316,Q222131,Q1351438,Q64884,Q1101443,Q642408,Q328313,Q457163,Q7247922,Q1032414,Q2273067,Q15214308,Q3569769,Q1095556,Q208635,Q15233253,Q27990828,Q42530846,Q58327598,Q334526,Q18999882,Q71819887,Q1774339,Q164134,
van gogh works by date,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
napoleon,en,Q517,Q986312,Q17522194,Q193415,Q996166,Q958465,Q1632158,Q2423375,Q1848741,Q733369,Q548876,Q27688783,Q36982451,Q1063221,Q20671305,Q6965008,Q3534639,Q6965009,Q3335922,Q2394507,Q10594523,Q25501450,Q17232640,Q10594524,Q30610115,Q6965000,Q1077653,Q6965001,Q3201635,Q6964999,Q31704087,Q6965004,Q31681921,Q27242163,Q6965007,Q103888037,Q24027370,Q18809271,Q6965006,Q19882955,Q55008336,Q20200218,Q103843562,Q103843088,Q63891159,Q7721,Q311644,Q1271253,Q221549,Q38102974,
ulmus minor,en,Q147487,Q7879356,Q7879523,Q7879540,Q7879548,Q7879533,Q7879537,Q7879532,Q7879520,Q20658386,Q7879516,Q16993320,Q7879518,Q7879477,Q16993304,Q7879536,Q7879515,Q7879530,Q5948014,Q16969089,Q16993315,Q16976131,Q7879519,Q7879522,Q7879539,Q7879524,Q20818045,Q7879544,Q7879549,Q7879527,Q7879534,Q93397035,Q48851276,Q7879542,Q7879553,Q7879517,Q12322720,Q16993307,Q7879550,Q16993308,Q89270408,Q7879531,Q16993310,Q7879547,Q16993312,Q7879521,Q7879529,Q7879545,Q7879552,Q16993323,
skeleton,en,Q186190,Q7881,Q7534377,Q7534381,Q64822795,Q572411,Q1169129,Q15882101,Q2333502,Q66515588,Q7534379,Q2291918,Q57081394,Q11311595,Q80038794,Q13388442,Q874295,Q953476,Q24514656,Q49080696,Q1377526,Q1135237,Q321314,Q2262792,Q1199793,Q2531855,Q1530635,Q55789747,Q7764599,Q1640354,Q7075557,Q2435483,Q15139231,Q10105,Q65169578,Q944106,Q658740,Q55364992,Q17749989,Q42295509,Q15139234,Q6098656,Q15139233,Q3913106,Q24985,Q754496,Q2291881,Q275191,Q547007,Q1205063,
spain,en,Q29,Q16254367,Q438633,Q16932431,Q80702,Q99317201,Q2306509,Q2905661,Q23709427,Q7572851,Q7572846,Q99774598,Q7572850,Q42296490,Q7572848,Q42195814,Q19170340,Q57526976,Q19925404,Q42267,Q8745,Q15681,Q5818,Q39178,Q494777,Q15993718,Q3399982,Q15682,Q15090,Q488555,Q5836,Q9580,Q7038,Q304757,Q675298,Q21338892,Q684071,Q15679,Q14325,Q3908,Q15088,Q12233,Q13474305,Q8356,Q5727,Q12411,Q629590,Q81972,Q2074737,Q170603,
social distancing,en,Q30314010,Q97532658,Q99543120,Q96032049,Q91628869,Q99240671,Q96589230,Q96593520,Q94469314,Q90838306,Q93671102,Q99568762,Q93622965,Q98659866,Q93671375,Q93623463,Q93622122,Q93622436,Q93622976,Q93622507,Q93671201,Q93622918,Q93623119,Q93670215,Q93669687,Q93623091,Q93621725,Q93621628,Q93671040,Q93622536,Q91104866,Q93622163,Q94472286,Q93671379,Q92025267,Q93670310,Q93621759,Q93671174,Q93622098,Q91786874,Q93670382,Q93622189,Q100567220,Q98950088,Q97546079,Q94485964,Q103837437,Q96579636,Q96162342,Q95650064,
girl,en,Q3031,Q2287303,Q51843955,Q240707,Q1930296,Q2457643,Q5564338,Q37567403,Q61637385,Q1526740,Q61637329,Q60649975,Q61875850,Q5564333,Q30301040,Q2102016,Q5564339,Q5564337,Q5564336,Q64841091,Q5564335,Q5564334,Q655220,Q28685262,Q11221592,Q30924877,Q11201112,Q25218794,Q18336735,Q15741930,Q5564342,Q60376894,Q5564341,Q1145803,Q5564340,Q67873217,Q63486976,Q11296549,Q3521037,Q2066116,Q7736486,Q7736485,Q126372,Q338253,Q18635480,Q112040,Q641066,Q19794854,Q6451898,Q199853,
ufo,en,Q251657,Q940655,Q225344,Q421,Q6133338,Q3916315,Q11420238,Q18609077,Q1329606,Q64822675,Q12340062,Q7864536,Q2002286,Q20779632,Q7864537,Q19961419,Q88956311,Q11251843,Q17513752,Q4052120,Q7864533,Q7864535,Q2389932,Q1573894,Q17049113,Q73483842,Q56907035,Q941216,Q66498764,Q65117653,Q96074713,Q2037682,Q88885825,Q219611,Q3696300,Q7864525,Q949073,Q3547178,Q40728071,Q3607151,Q3858999,Q1930816,Q815525,Q1327035,Q7732516,Q1261715,Q11875660,Q2423283,Q3129006,Q2656375,
star,en,Q523,Q176688,Q1516815,Q1191504,Q381936,Q2026696,Q23983928,Q7600507,Q1082758,Q101251494,Q80859729,Q20509372,Q7394671,Q6133750,Q27582980,Q7600583,Q662639,Q5651293,Q1618550,Q3496935,Q7600586,Q15982595,Q60469337,Q7600584,Q7600582,Q3460092,Q85269938,Q7592213,Q3473209,Q7600585,Q10659662,Q3408993,Q3477796,Q28173261,Q130809,Q1870585,Q27722039,Q1092,Q36704090,Q100283506,Q100283512,Q462,Q2589168,Q130019,Q50053,Q852071,Q6243,Q928314,Q6232,Q104438879,
dogs,en,Q907682,Q3712549,Q2539750,Q2371233,Q5288429,Q72011854,Q5288423,Q539327,Q5288425,Q58848843,Q5288422,Q1234777,Q3231493,Q23925051,Q64736296,Q1998914,Q59144201,Q77513584,Q3231481,Q77475004,Q92394109,Q7730541,Q1213499,Q1371726,Q83551762,Q24455756,Q38123,Q3229059,Q3980454,Q5031443,Q960786,Q4425724,Q72962,Q15286473,Q7786271,Q3981181,Q5067982,Q5281039,Q11722177,Q4899723,Q11856221,Q11889633,Q72010711,Q72011271,Q3964244,Q6532955,Q30314702,Q53542448,Q38579,Q6057463,
salvador dalí,en,Q5577,Q3945890,Q28669534,Q30950212,Q3945892,Q104633152,Q674427,Q13034350,Q1382079,Q2790648,Q14230837,Q3945888,Q19922659,Q3210259,Q63109683,Q102183893,Q102193198,Q102213831,Q4428740,Q102221869,Q102225764,Q2583260,Q102183985,Q102182151,Q102183195,Q102181671,Q102220838,Q61941685,Q102182642,Q102183924,Q102185861,Q102185303,Q102213062,Q102187836,Q7763042,Q24009539,Q34992746,Q3462260,Q102221886,Q102222059,Q102214713,Q102222657,Q102221848,Q102221927,Q102221662,Q102213917,Q102213982,Q102222525,Q102215046,Q102191437,
cezanne,en,Q35548,Q5202661,Q3696605,Q1265292,Q48780730,Q52339361,Q11314298,Q64205406,Q16178645,Q83542755,Q193954,Q17277915,Q40998571,Q5065831,Q19861723,Q2795878,Q38080384,Q19693133,Q3415202,Q15479602,Q28126469,Q83639233,Q64410047,Q6718187,Q28094409,Q9067017,Q3937611,Q63676678,Q64406718,Q3937610,Q17495244,Q20808608,Q20808606,Q63871376,Q17495243,Q64350209,Q22337851,Q2962671,Q28496857,Q63871494,Q28126488,Q49870534,Q3275261,Q9115530,Q64372343,Q7232291,Q24939413,Q11802629,Q63928220,Q63489514,
fireworks,en,Q360187,Q3321249,Q2525748,Q45818,Q670589,Q626986,Q277975,Q42880958,Q127933,Q5452048,Q5452047,Q5452043,Q3745990,Q25218835,Q5452044,Q1655350,Q5452051,Q5452050,Q294653,Q5452045,Q5452053,Q70501204,Q5452055,Q103842732,Q93744999,Q79927636,Q79994862,Q79927638,Q102365966,Q79927641,Q29723841,Q83547079,Q83639651,Q16821940,Q11400363,Q17018360,Q7119701,Q6410013,Q5452064,Q5046869,Q104183546,Q7802308,Q11662545,Q17219247,Q4667095,Q60721433,Q3119229,Q1147529,Q11274443,Q6703682,
movie poster,en,Q374821,Q26882447,Q1460487,Q27882020,Q27881877,Q1415327,Q27037988,Q5635949,Q18148361,Q8451751,Q25215884,Q28458946,Q29054043,Q8907959,Q4909170,Q81593431,Q3428909,Q48032279,Q17147153,Q30049693,Q12125391,Q8451753,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
civil war,en,Q8676,Q8465,Q47538690,Q726495,Q742366,Q188972,Q56802994,Q12813923,Q540680,Q66653502,Q66658543,Q5124602,Q12813924,Q5124608,Q5124606,Q39089700,Q5124605,Q11307488,Q54643908,Q66658689,Q50322873,Q672443,Q748042,Q5124627,Q10859,Q243620,Q179975,Q211855,Q79911,Q877450,Q208484,Q80330,Q2002975,Q142529,Q817206,Q257724,Q842299,Q657661,Q1237867,Q795269,Q1021175,Q3142505,Q1122110,Q1477500,Q1960733,Q66650800,Q4743419,Q1021172,Q2658255,Q5050879,
industrial revolution,en,Q2269,Q57518023,Q66741944,Q217200,Q42191444,Q10380459,Q60249146,Q1661989,Q99612795,Q1096872,Q7176224,Q73565379,Q80868873,Q16847469,Q70418217,Q3938059,Q60357621,Q7605376,Q56049696,Q57683948,Q18788394,Q71170532,Q56398162,Q59076159,Q58432896,Q60528698,Q20601657,Q56660623,Q58354412,Q55888510,Q9672243,Q58432001,Q7991624,Q3656073,Q58527938,Q72005238,Q58536424,Q58858345,Q19595049,Q7834917,Q24525708,Q42191369,Q56848461,Q60528699,Q16932272,Q56817438,Q4787186,Q57472460,Q59546659,Q7751872,
marie antoinette,en,Q829695,Q20154678,Q47365,Q3291536,Q3291546,Q1897128,Q252316,Q3291543,Q6762746,Q1150327,Q57385558,Q85783835,Q65528289,Q63536510,Q61743544,Q96184870,Q20200545,Q64559915,Q20565717,Q20179240,Q3847129,Q87283111,Q83668752,Q6762638,Q42406262,Q3291541,Q63248302,Q5499725,Q59195781,Q26203389,Q20789736,Q19841093,Q99740817,Q22443870,Q4972619,Q3291558,Q18603503,Q97396097,Q85094712,Q3291544,Q83669005,Q83671553,Q21674942,Q21619987,Q16147897,Q24524295,Q26998519,Q22252151,Q101709899,Q20881998,
piano,en,Q5994,Q271510,Q341471,Q37505595,Q18500111,Q11995645,Q84519044,Q2707020,Q30028800,Q18495362,Q18481806,Q18468623,Q18458607,Q18498747,Q117315,Q18462367,Q18496627,Q18489749,Q18454215,Q18496028,Q18502010,Q84517282,Q18436238,Q7190082,Q91396498,Q12622278,Q30005267,Q11239560,Q25352519,Q103487423,Q18614322,Q11331266,Q44871367,Q19413099,Q39072364,Q33472408,Q33472385,Q65772009,Q83669409,Q1414262,Q190148,Q1546995,Q743659,Q1746028,Q1136507,Q84507544,Q84508651,Q188499,Q1746015,Q486748,
italy,en,Q38,Q172579,Q353296,Q3708720,Q99294243,Q66477411,Q19113443,Q2028109,Q56521259,Q57533601,Q18087879,Q3677229,Q3858945,Q58824800,Q60362171,Q58090782,Q58631159,Q58641122,Q58641114,Q79875794,Q79877729,Q79875799,Q79877739,Q79877736,Q79877726,Q79875801,Q79875803,Q79877720,Q79877731,Q223936,Q1449,Q913582,Q495,Q490,Q838931,Q48742118,Q1125341,Q60050,Q2656,Q207989,Q15089,Q50001,Q5343710,Q747074,Q194005,Q6221,Q271148,Q8611,Q3685476,Q676899,
sea,en,Q165,Q3476636,Q37565182,Q12512568,Q229077,Q12512567,Q17228687,Q18253996,Q33566106,Q14295,Q544914,Q1693,Q1091178,Q14954094,Q93520415,Q204703,Q131418,Q183455,Q47632,Q44133,Q193465,Q41735,Q545,Q166,Q125465,Q26080,Q210855,Q82931,Q132868,Q184189,Q159252,Q34575,Q33254,Q7988,Q19270,Q217501,Q37660,Q474708,Q840427,Q27092,Q199436,Q47545,Q212083,Q1247,Q1391243,Q45341,Q41602,Q203995,Q163434,Q4918,
alexander the great,en,Q8409,Q60786039,Q25095603,Q619228,Q102536727,Q3610808,Q2833236,Q2834226,Q4720510,Q11823111,Q412100,Q4720514,Q85988015,Q63810244,Q80802852,Q87280637,Q50319474,Q52161725,Q59643378,Q3531150,Q4179493,Q551888,Q1674001,Q627824,Q1819435,Q38130146,Q4720511,Q54997547,Q1229271,Q7024513,Q4428359,Q4720512,Q88023033,Q16190628,Q51883206,Q7737837,Q16527998,Q5169435,Q59737475,Q6012170,Q15896678,Q28913507,Q4200795,Q84745041,Q65591304,Q79968371,Q3559282,Q6546878,Q55619289,Q65589641,
chess,en,Q718,Q843284,Q1190003,Q16865538,Q15472840,Q2962835,Q5093291,Q1070608,Q5093292,Q98505610,Q16171150,Q79540311,Q56878094,Q80007726,Q1019252,Q16829376,Q135,Q2621281,Q1896682,Q211115,Q772494,Q103632,Q490499,Q1248874,Q810986,Q2210277,Q428303,Q299191,Q191448,Q1122588,Q2627699,Q5093296,Q890313,Q386612,Q287085,Q769961,Q250677,Q8483,Q637844,Q18432165,Q1415959,Q2109886,Q250689,Q724903,Q1128406,Q65101244,Q65099664,Q161981,Q66826895,Q13938238,
los angeles,en,Q16910,Q65,Q2043658,Q229094,Q28126244,Q390462,Q5981287,Q6681924,Q5981292,Q9024388,Q5981290,Q31921981,Q6681932,Q1147518,Q6681929,Q970703,Q10515395,Q3282477,Q18419787,Q6681931,Q10851451,Q10319782,Q70909424,Q79309464,Q100463514,Q31811955,Q2543669,Q337377,Q188515,Q104994,Q83671469,Q587064,Q6084,Q203008,Q204357,Q1308991,Q773853,Q995043,Q86768,Q909975,Q3143067,Q1015874,Q849784,Q174710,Q1641836,Q1370207,Q6682727,Q1571403,Q8731,Q5671289,
laboratory,en,Q483242,Q19926875,Q19986707,Q6467254,Q79869468,Q79868223,Q93805128,Q79867018,Q79868053,Q79867624,Q79866684,Q79867108,Q79867520,Q79867792,Q79867325,Q98820920,Q379848,Q181892,Q27721811,Q28863779,Q1068734,Q7443582,Q335201,Q834028,Q15758273,Q6906303,Q15760397,Q585777,Q3138607,Q189325,Q6467260,Q649120,Q3875191,Q630320,Q1133630,Q45820,Q714439,Q6467294,Q337641,Q1856153,Q28119945,Q5153325,Q1499258,Q519826,Q2858854,Q5755397,Q6981913,Q6467300,Q4767846,Q5251245,
hawaii,en,Q782,Q68740,Q99670125,Q1591594,Q9286788,Q16252318,Q16993762,Q18703903,Q14353921,Q19373859,Q5684231,Q48971663,Q47496649,Q5684218,Q3128739,Q68667968,Q5684215,Q5684222,Q66498537,Q59506928,Q33538175,Q58425066,Q487334,Q2710361,Q83660003,Q131347,Q216258,Q3308783,Q5684360,Q83543439,Q728443,Q697407,Q1392427,Q219726,Q627970,Q1318641,Q217439,Q156418,Q2087831,Q18094,Q13410431,Q111517,Q2138861,Q111409,Q1057542,Q27711371,Q494546,Q487704,Q2000129,Q909676,
black death,en,Q679833,Q4920630,Q4920629,Q4920634,Q42005,Q530993,Q85747507,Q74103120,Q4922251,Q104858409,Q7718299,Q60449761,Q10430824,Q4920631,Q90495763,Q4920635,Q5247305,Q2907236,Q880544,Q29384432,Q7782395,Q804571,Q132438,Q12338981,Q11888880,Q2907234,Q7047620,Q7541965,Q3421362,Q104838130,Q3218445,Q3496812,Q62028883,Q7732706,Q1757611,Q16839166,Q12303767,Q17750530,Q105061754,Q4517968,Q101248284,Q2028421,Q96176841,Q16984624,Q16679862,Q7784912,Q1754232,Q4866630,Q30014851,Q20899593,
jonasbr,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
angela merkel,en,Q567,Q41495489,Q41495976,Q94746073,Q27973987,Q14920587,Q17153109,Q15094515,Q13415350,Q17278301,Q24559997,Q412116,Q28464539,Q17278276,Q28962603,Q56293005,Q315863,Q632985,Q23786568,Q27973989,Q48055676,Q70045,Q17983462,Q13311610,Q14646844,Q49891981,Q55595882,Q52008326,Q6739621,Q59596111,Q17278185,Q51273670,Q1829437,Q62518452,Q54888090,Q66424882,Q66424880,Q66424875,Q17602665,Q66424879,Q56112487,Q66424883,Q17602676,Q89043310,Q90184397,Q82887148,Q94563766,Q96612303,Q80263418,Q98183582,
